,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
0,WAS,WAS vs. MIL,02/24/2020,,L,24,76,28,47,59.6,9,16,56.3,11,15,73.3,2,17,19,15,6,2,0,12,10
1,HOU,HOU vs. NYK,02/24/2020,,W,24,51,17,43,39.5,5,25,20.0,12,19,63.2,4,17,21,8,6,9,4,11,-4
2,LAC,LAC vs. MEM,02/24/2020,,W,24,58,21,45,46.7,11,21,52.4,5,8,62.5,4,18,22,18,6,2,1,10,-2
3,UTA,UTA vs. PHX,02/24/2020,,L,24,49,15,35,42.9,4,10,40.0,15,18,83.3,3,13,16,6,13,1,2,11,-20
4,MIL,MIL @ WAS,02/24/2020,,W,24,66,25,43,58.1,6,17,35.3,10,12,83.3,1,16,17,14,5,3,3,15,-10
5,PHX,PHX @ UTA,02/24/2020,,W,24,69,27,50,54.0,8,13,61.5,7,8,87.5,8,15,23,19,7,8,1,17,20
6,NYK,NYK @ HOU,02/24/2020,,L,24,55,21,50,42.0,7,17,41.2,6,14,42.9,13,23,36,8,9,6,5,11,4
7,CLE,CLE vs. MIA,02/24/2020,,W,24,55,19,40,47.5,7,20,35.0,10,16,62.5,4,18,22,13,6,4,1,11,12
8,ORL,ORL @ BKN,02/24/2020,,W,24,74,28,44,63.6,10,16,62.5,8,9,88.9,2,17,19,17,4,3,6,7,15
9,MIA,MIA @ CLE,02/24/2020,,L,24,43,18,39,46.2,3,16,18.8,4,5,80.0,3,18,21,11,9,2,4,12,-12
10,DAL,DAL vs. MIN,02/24/2020,,W,24,58,22,49,44.9,4,21,19.0,10,14,71.4,7,23,30,15,8,4,0,15,0
11,ATL,ATL @ PHI,02/24/2020,,L,24,60,21,50,42.0,4,20,20.0,14,14,100.0,6,14,20,10,2,2,0,13,0
12,MEM,MEM @ LAC,02/24/2020,,L,24,60,24,48,50.0,6,17,35.3,6,9,66.7,6,18,24,15,3,3,4,9,2
13,BKN,BKN vs. ORL,02/24/2020,,L,24,59,22,49,44.9,10,22,45.5,5,7,71.4,9,13,22,15,6,3,2,9,-15
14,PHI,PHI vs. ATL,02/24/2020,,W,24,60,20,43,46.5,5,13,38.5,15,18,83.3,6,20,26,8,6,1,2,12,0
15,MIN,MIN @ DAL,02/24/2020,,L,24,58,20,45,44.4,6,19,31.6,12,20,60.0,3,20,23,9,6,2,4,11,0
16,OKC,OKC vs. SAS,02/23/2020,,W,24,70,26,40,65.0,5,8,62.5,13,15,86.7,2,23,25,16,8,4,1,9,22
17,IND,IND @ TOR,02/23/2020,,L,24,49,20,49,40.8,3,14,21.4,6,9,66.7,6,13,19,14,8,5,2,10,-15
18,WAS,WAS @ CHI,02/23/2020,,L,24,59,19,38,50.0,7,17,41.2,14,15,93.3,4,13,17,11,11,9,1,14,6
19,CHI,CHI vs. WAS,02/23/2020,,W,24,53,19,35,54.3,6,15,40.0,9,12,75.0,3,13,16,10,17,7,2,14,-6
20,POR,POR vs. DET,02/23/2020,,W,24,54,20,41,48.8,5,13,38.5,9,14,64.3,6,14,20,10,3,3,2,8,1
21,MIN,MIN @ DEN,02/23/2020,,L,24,51,17,41,41.5,6,18,33.3,11,15,73.3,3,18,21,12,8,2,2,6,-4
22,NOP,NOP @ GSW,02/23/2020,,W,24,69,29,49,59.2,10,21,47.6,1,2,50.0,4,19,23,21,4,4,3,7,24
23,LAL,LAL vs. BOS,02/23/2020,,W,24,58,17,40,42.5,6,18,33.3,18,26,69.2,5,12,17,9,6,6,3,12,0
24,GSW,GSW vs. NOP,02/23/2020,,L,24,45,19,43,44.2,3,15,20.0,4,6,66.7,3,12,15,13,7,2,2,5,-24
25,TOR,TOR vs. IND,02/23/2020,,W,24,64,23,44,52.3,8,23,34.8,10,11,90.9,4,20,24,14,8,5,8,12,15
26,BOS,BOS @ LAL,02/23/2020,,L,24,58,19,38,50.0,7,13,53.8,13,14,92.9,5,16,21,13,13,2,2,19,0
27,DET,DET @ POR,02/23/2020,,L,24,53,21,43,48.8,6,19,31.6,5,5,100.0,6,17,23,9,6,1,2,9,-1
28,DEN,DEN vs. MIN,02/23/2020,,W,24,55,23,46,50.0,5,16,31.3,4,8,50.0,2,17,19,16,6,6,3,13,4
29,SAS,SAS @ OKC,02/23/2020,,L,24,48,18,46,39.1,3,18,16.7,9,12,75.0,3,13,16,15,5,2,1,12,-22
30,UTA,UTA vs. HOU,02/22/2020,,L,24,44,16,44,36.4,2,16,12.5,10,14,71.4,5,20,25,6,8,0,0,7,-14
31,MIL,MIL vs. PHI,02/22/2020,,W,24,63,24,45,53.3,7,22,31.8,8,11,72.7,6,28,34,16,9,2,5,5,15
32,DAL,DAL @ ATL,02/22/2020,,L,24,41,15,40,37.5,5,21,23.8,6,9,66.7,6,19,25,11,11,2,6,9,-12
33,MIA,MIA vs. CLE,02/22/2020,,W,24,42,15,39,38.5,7,19,36.8,5,6,83.3,2,14,16,11,9,9,3,10,-11
34,ATL,ATL vs. DAL,02/22/2020,,W,24,53,22,50,44.0,4,19,21.1,5,12,41.7,10,18,28,11,4,5,2,10,12
35,BKN,BKN @ CHA,02/22/2020,,W,24,60,22,45,48.9,9,21,42.9,7,9,77.8,7,21,28,14,3,4,1,8,19
